name,cost,power,ability,tags
Brood,3,2,<span>On Reveal</span>: Add 2 Broodlings to this location with the same Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Bucky Barnes,2,1,"When this is destroyed, replace it with the Winter Soldier.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Cable,2,2,<span>On Reveal</span>: Put the bottom card of your opponent's deck into your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Captain America,3,3,<span>Ongoing</span>: Your other cards at this location have +1 Power.,"[{'tag_id': 7, 'tag': 'S.H.I.E.L.D.', 'tag_slug': 'shield'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Captain Marvel,4,4,"At the end of the game, move to a location that wins you the game. (If possible)","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Carnage,2,2,<span>On Reveal</span>: Destroy your other cards here. +2 Power for each destroyed.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Cerebro,3,0,<span>Ongoing</span>: Your highest-Power cards have +2 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Cloak,2,4,"<span>On Reveal</span>: Next turn, both players can move cards to this location.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Colleen Wing,2,4,<span>On Reveal</span>: Discard the lowest-cost card from your hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Colossus,2,3,"<span>Ongoing</span>: Can't be destroyed, moved, or have its Power reduced.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Cosmo,3,3,<span>Ongoing</span>: On Reveal abilities won't happen at this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Crossbones,4,8,You can only play this at locations where you are winning.,"[{'tag_id': 8, 'tag': 'HYDRA', 'tag_slug': 'hydra'}]"
Crystal,3,3,<span>On Reveal</span>: Each player draws a card.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Cyclops,3,4,,"[{'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Dagger,2,2,"When this moves to a location, +2 Power for each card your opponent has there.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Daken,3,4,<span>On Reveal</span>: Add the Muramasa Shard to your hand.,[]
Daredevil,2,2,"On turn 5, you get to see your opponent's plays before you make your own.",[]
Darkhawk,4,0,<span>Ongoing</span>: +2 Power for each card in your opponent's deck.,[]
Dazzler,3,2,<span>Ongoing</span>: +2 Power for each location that's full on your side.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Deadpool,1,1,"When this is destroyed, return it to your hand with double the Power.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Death,8,12,Costs 1 less for each card destroyed this game.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Deathlok,3,5,<span>On Reveal</span>: Destroy your other cards at this location.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Debrii,3,3,"<span>On Reveal</span>: Add a Rock to each other location, for both players.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Destroyer,6,15,<span>On Reveal</span>: Destroy your other cards.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Devil Dinosaur,5,3,<span>Ongoing</span>: +2 Power for each card in your hand.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Djinn,0,1,"<span>On Reveal</span>: Next turn, you get +2 Energy.",[]
Doctor Octopus,5,10,<span>On Reveal</span>: Pull 4 random cards from your opponent's hand to their side of this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Doctor Strange,3,3,<span>On Reveal</span>: Move your highest-Power card(s) to this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Domino,2,3,"You always draw this card on turn 2, and not before.",[]
Doctor Doom,6,5,<span>On Reveal</span>: Add a 5-Power DoomBot to each other location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Dracula,4,0,"At the end of the game, discard a card from your hand. This has its Power.","[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Drax,4,6,"<span>On Reveal</span>: If your opponent played a card here this turn, +2 Power.","[{'tag_id': 5, 'tag': 'Guardians of the Galaxy', 'tag_slug': 'guardians-of-the-galaxy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Ebony Maw,1,7,You can't play this after turn 3. <span>Ongoing</span>: You can't play cards here.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Echo,1,2,"After your opponent plays an Ongoing card here, remove its abilities.",[]
Electro,3,2,<span>On Reveal</span>: +1 Max Energy. <span>Ongoing</span>: You can only play 1 card a turn.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Elektra,1,1,<span>On Reveal</span>: Destroy a random enemy 1-Cost card at this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Enchantress,4,5,<span>On Reveal</span>: Remove the abilities from all Ongoing cards at this location.,"[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Evolved Abomination,5,9,Costs 1 less for each enemy card in play that's afflicted with negative Power.,[]
Evolved Cyclops,3,4,"When you end a turn with unspent Energy, afflict 2 random enemies here with -1 Power.",[]
Evolved Hulk,6,12,,[]
Evolved Misty Knight,1,2,"When you end a turn with unspent Energy, give another friendly card +1 Power.",[]
Evolved Shocker,2,3,<span>On Reveal</span>: Give the leftmost card in your hand -1 Cost.,[]
Evolved The Thing,4,6,<span>On Reveal</span>: Afflict a random enemy card here with -1 Power. Repeat this twice more.,[]
Evolved Wasp,0,1,<span>On Reveal</span>: Afflict a random enemy card here with -1 Power.,[]
Falcon,2,3,<span>On Reveal</span>: Return your 1-Cost cards to your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Firestar,1,2,none,[]
Flatman,2,2,<span>Ongoing</span>: Adjacent locations have +1 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Forge,2,1,<span>On Reveal</span>: Give the next card you play +3 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Galactus,6,5,"<span>On Reveal</span>: If you're winning this location and this is your only card here, destroy all other locations.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Gambit,3,3,<span>On Reveal</span>: Discard a card from your hand. Destroy a random enemy card.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Gamora,5,7,"<span>On Reveal</span>: If your opponent played a card here this turn, +5 Power.","[{'tag_id': 5, 'tag': 'Guardians of the Galaxy', 'tag_slug': 'guardians-of-the-galaxy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Ghost,1,2,<span>Ongoing</span>: Your cards are always revealed last. (Their On Reveal abilities happen last.),[]
Ghost Rider,4,3,<span>On Reveal</span>: Bring back one of your discarded cards to this location.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Ghost-Spider,1,2,<span>On Reveal</span>: The last card you played moves here.,"[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Giganto,6,14,You can only play this at the left location.,[]
Gladiator,3,8,"<span>On Reveal</span>: Add a card from your opponent's deck to their side of this location. If it has less Power, destroy it.",[]
Goblin Queen,2,3,<span>On Reveal</span>: Other cards can't be revealed this turn.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Goose,2,2,"<span>Ongoing</span>: Nobody can play cards that cost 4, 5, or 6 at this location.","[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Green Goblin,3,-3,<span>On Reveal</span>: Your opponent gains control of this.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Groot,3,4,"<span>On Reveal</span>: If your opponent played a card here this turn, +2 Power.","[{'tag_id': 5, 'tag': 'Guardians of the Galaxy', 'tag_slug': 'guardians-of-the-galaxy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Gwenpool,2,1,<span>On Reveal</span>: Double this card's Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Havok,1,2,none,[]
Hawkeye,1,1,"<span>On Reveal</span>: If you play a card here next turn, +3 Power.","[{'tag_id': 7, 'tag': 'S.H.I.E.L.D.', 'tag_slug': 'shield'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Hazmat,2,2,<span>On Reveal</span>: Afflict all other cards with -1 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Heimdall,6,8,<span>On Reveal</span>: Move your other cards one location to the left.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Hela,6,6,<span>On Reveal</span>: Resurrect all cards you discarded from your hand to random locations.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Helicarrier,6,10,"When you discard this from your hand, add 3 random cards to your hand.","[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Hellcow,4,6,<span>On Reveal</span>: Discard 2 cards from your hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
High Evolutionary,4,4,"At the start of the game, unlock the potential of your cards with no abilities.",[]
Hit Monkey,3,2,<span>On Reveal</span>: Gain +2 Power for each other card you played this turn.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Hobgoblin,5,-8,<span>On Reveal</span>: Your opponent gains control of this.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
The Hood,1,-3,<span>On Reveal</span>: Add a Demon to your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Howard the Duck,1,2,<span>Ongoing</span>: Tap this to see the top card of your deck.,[]
Hulk,6,12,,"[{'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Hulkbuster,3,5,<span>On Reveal</span>: Merge this card with a random friendly card at this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Human Torch,1,2,"When this moves, double its Power.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Iceman,1,2,<span>On Reveal</span>: Give a random card in your opponent's hand +1 Cost. (maximum 6),"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
The Infinaut,6,20,"If you played a card last turn, you can't play this.",[]
Invisible Woman,2,3,<span>Ongoing</span>: Cards you play here are not revealed until the game ends.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Iron Fist,1,2,"<span>On Reveal</span>: After you play your next card, move it one location to the left.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Iron Lad,4,6,<span>On Reveal</span>: Copy the text of your deck's top card.,[]
Iron Man,5,0,<span>Ongoing</span>: Your total Power is doubled at this location.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Ironheart,3,0,<span>On Reveal</span>: Give 3 other friendly cards +2 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
J. Jonah Jameson,1,1,<span>Ongoing</span>: Your emotes are ruder.,[]
Jane Foster Mighty Thor,5,8,<span>On Reveal</span>: Draw all cards that Cost 0 from your deck.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Jean Grey,3,3,<span>Ongoing</span>: Players must play their first card here each turn. (if possible),"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Jeff the Baby Land Shark,2,3,You can move this once. Nothing can stop you from moving or playing this to any location.,[]
Jessica Jones,4,4,"<span>On Reveal</span>: If you don't play a card here next turn, +4 Power.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Jubilee,4,1,<span>On Reveal</span>: Add the top card of your deck to this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Juggernaut,3,3,"<span>On Reveal</span>: If your opponent played cards here this turn, move them randomly.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Ka-Zar,4,4,<span>Ongoing</span>: Your 1-Cost cards have +1 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Kang,5,0,"<span>On Reveal</span>: Look at what your opponent did, then restart the turn. (without Kang)","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Killmonger,3,3,<span>On Reveal</span>: Destroy ALL 1-Cost cards.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
King Eitri,5,3,<span>On Reveal</span>: Give the next card you play +4 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Kingpin,3,4,"When a card moves here on turn 6, destroy it.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Kitty Pryde,1,0,"When this returns to your hand, +1 Power. Returns at the start of each turn.",[]
Klaw,5,4,<span>Ongoing</span>: The location to the right has +6 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Knull,6,0,<span>Ongoing</span>: Has the combined Power of all cards destroyed this game.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Korg,1,2,<span>On Reveal</span>: Shuffle a Rock into your opponent's deck.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Kraven,2,2,"When a card moves here, this gains +2 Power.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Lady Deathstrike,5,4,<span>On Reveal</span>: Destroy each card here with less Power than this.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Lady Sif,3,5,<span>On Reveal</span>: Discard the highest-cost card from your hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Leader,6,2,"<span>On Reveal</span>: Copy the enemy card(s) with the highest Power played this turn, but on your side.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Leech,5,3,"At the start of turn 6, remove all abilities from cards in your opponent's hand.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Legion,5,7,<span>On Reveal</span>: Replace each other location with this one.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
The Living Tribunal,6,9,<span>Ongoing</span>: Split your total Power evenly among all locations.,[]
Lizard,2,5,<span>Ongoing</span>: -4 Power if your opponent has 4 cards here.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Lockjaw,3,2,,[]
Loki,3,5,<span>On Reveal</span>: Replace your hand with cards from your opponent's starting deck. Give them -1 cost.,[]
Luke Cage,2,2,<span>Ongoing</span>: Your cards can't have their Power reduced.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
M'Baku,1,2,"If this is in your deck at the end of the game, it jumps to a random location.",[]
Magik,3,2,<span>On Reveal</span>: Replace this location with 'Limbo'. Doesn't work after turn 5.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Magneto,6,12,<span>On Reveal</span>: Move all opposing 3 and 4-Cost cards to this location.,"[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Makkari,0,2,"When you draw this, place it at a random location.",[]
Man-Thing,4,5,"<span>Ongoing</span>: 1, 2, and 3-Cost cards here have -2 Power.",[]
Mantis,1,2,"<span>On Reveal</span>: If your opponent played a card here this turn, draw a card from their deck.","[{'tag_id': 5, 'tag': 'Guardians of the Galaxy', 'tag_slug': 'guardians-of-the-galaxy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Maria Hill,2,3,<span>On Reveal</span>: Add a random 1 or 2-Cost card to your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Martyr,2,6,,[]
Master Mold,2,2,<span>On Reveal</span>: Add 2 Sentinel to your opponent's hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Maximus,3,7,<span>On Reveal</span>: Your opponent draws 2 cards.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Medusa,2,2,"<span>On Reveal</span>: If this is at the middle location, +3 Power.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Miles Morales,4,5,"If a card moved last turn, this costs 1.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Mirage,2,2,<span>On Reveal</span>: Copy the lowest-Cost card in your opponent's hand into your hand. Give it +2 Power.,[]
Misty Knight,1,2,,"[{'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Mobius M. Mobius,2,3,<span>Ongoing</span>: Your Costs can't be increased. Your opponent's Costs can't be reduced.,[]
MODOK,5,8,<span>On Reveal</span>: Discard your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Mojo,2,2,"<span>Ongoing</span>: If both players have 4 cards at this location, +6 Power.","[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Moon Girl,4,4,<span>On Reveal</span>: Duplicate your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Moon Knight,3,3,<span>On Reveal</span>: Discard a card from each player's hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Morbius,2,0,<span>Ongoing</span>: +2 Power for each time you discarded a card this game.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Morph,3,0,<span>On Reveal</span>: Become a copy of a random card in your opponent's hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Mister Fantastic,3,2,<span>Ongoing</span>: Adjacent locations have +2 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Mister Negative,4,-1,<span>On Reveal</span>: Swap the Power and Cost of all cards in your deck.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Mister Sinister,2,2,<span>On Reveal</span>: Add a Sinister Clone to this location with the same Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Multiple Man,2,3,"When this moves, add a copy to the old location.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Mysterio,2,4,"As you play this, play Illusions to other locations. Disguise this as an Illusion until the game ends.",[]
Mystique,3,0,"<span>On Reveal</span>: If the last card you played has an Ongoing, copy its text. (if it's in play)","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Nakia,3,3,<span>On Reveal</span>: Give all cards in your hand +1 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Namor,4,6,<span>Ongoing</span>: +5 Power if this is your only card here.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Nebula,1,1,,"[{'tag_id': 5, 'tag': 'Guardians of the Galaxy', 'tag_slug': 'guardians-of-the-galaxy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Negasonic Teenage Warhead,3,5,"After ANY card is played here, destroy this card AND that card.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Nick Fury,4,5,<span>On Reveal</span>: Add 3 random 6-Cost cards to your hand.,"[{'tag_id': 7, 'tag': 'S.H.I.E.L.D.', 'tag_slug': 'shield'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Nico Minoru,1,2,"<span>On Reveal</span>: After you play your next card, cast a spell. (The spell changes each turn.)",[]
Night Nurse,2,2,<span>On Reveal</span>: Add all cards you discarded or destroyed last turn to your hand.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
